Author;Date;Reaction;Comment
قتيبة;الثلاثاء 29 غشت 2023 - 00:14;21;من خلال تصريح الوزير نلاحظ التمييز من خلال قوله ان النظام أتى بشئ خارق للعادة الا وهو ترقية المتعاقدين السؤال المطروح هل هؤلاء المتعاقدين لا يترقون؟ هل هم من كوكب آخر؟ ان انتظارات أسرة التعليم تفوق هذه الخزعبلات ايها السيد الوزير. و سوف ننتظر الملفات المهمة
اسماعيل والحاج _استاذ سابق.;الثلاثاء 29 غشت 2023 - 01:20;8;ما يخالجني سيدي الوزير هو محبتي وتقديري لكم لما اعرفه عنكم من جد ومعقول وحنكة في تسيير الامور من ايام تواجدكم في الداخلية.لكنني اخاف عليكم( من خلال تجربتي المتواضعة في حقل التعليم لمدة 35سنة) ان لاتحققوا ما تصبون اليه .لان هذا الميدان معقد جدا وكل اصلاح يبقى كلام وتقارير ووعود وتصورات وتمويلات وتكوينات ووو….لانها لا تنطلق من الواقع الحقيقي المر وتنزل من الاعلى الى الاسفل .مثلا المخطط الاستعجالي والادماج ووو….
عبدو;الثلاثاء 29 غشت 2023 - 06:06;5;على الوزارة ان تغلم ان نجاح الموسم الدراسي يتطلب تسوية الملفات العالقة وخصوصا ملف شيوخ التربية ضحايا النظامين الدين شملهم نظام التقاعد المجحف بعد 40 سنة من العمل فى ظل نظاميين 1985 / 2003
said;الثلاثاء 29 غشت 2023 - 06:48;5;"يجب التفكير في إصلاح منظومة الأسرة وإصلاح التلميذ أولا .كيف ماتايقول المثل الشعبي(قال ليه: باك طاح.
جوبو:من الخيمة خرج مايل.
كيفاش بغينا هاد الأنظمة تنجح والمدرسة أصبحت مرتعا لأشباه التلاميذ: العنف والتعاطي للمخدرات وقلة الترابي والغش لي ولى حق مشروع بالنسبة لهاد النوع من التلاميذ..والمشكلة العويصة، أن المسؤولية كيتحملها الأستاذ لي ملي كيدخل للفصل، بحالا شاد السبع من ودنو..
صلحوا التلميذ اولا قبل كل شيء…"
مستشار متدرب;الثلاثاء 29 غشت 2023 - 08:18;2;"لا بديل عن إنصاف مستشاري التوجيه والتخطيط التربوي، ممارسين ومتدربين، بترتيبهم في هيئة التأطير والتقييم ومماثلتهم في التعويضات مع الأطر ذات المسار المهني المماثل وإرجاع حقهم المسلوب في تغيير الإطار على ثلاث أفواج كأقصى حد.
ولا بديل كذلك عن إنصاف متدربي فوج 22-24 بما يتناسب مع مدخلاتهم الأعلى في تاريخ مراكز التكوين بوزارة التربية الوطنية (أقدمية عامة لا تقل عن 15 سنة وتصل حتى 30 سنة، الإجازة على الأقل، السلم 11 على الأقل + تكوين لمدة سنتين في مركز وطني) وذلك بالتخرج بالدرجة الممتازة وإطار مفتش."
مستشار في التخطيط التربوي;الثلاثاء 29 غشت 2023 - 11:52;0;لا نظام أساسي دون إنصاف مستشاري التوجيه والتخطيط التربوي عبر تغيير الإطار دون تخليف ضحايا، وتعوضات عن الإطار والمهام منصفة.
عبد العزيز;الثلاثاء 29 غشت 2023 - 11:55;0;ملف مستشاري التوجيه والتخطيط التربوي عمر ل 20 سنة!!! انصفوا مستشاري التوجيه والتخطيط وارجعوا لهم حقوقهم المسلوبة وعلى رأسها تغيير الإطار بالاقدمية إلى مفتش ضمانا لتوحيد المسارات المهنية والعدالة الأجرية
مواطن;الثلاثاء 29 غشت 2023 - 12:23;0;اليوم ذهبت لاسجل ابني،وانا حاءر .هل اسحله في ثانوي عمومي او ثانوي حر . ما يخيفني الاكتضاض والغياب والإضرابات ونقص،الكفاءات في بعض المواد في،العمومي .اما الحر غلاء التسجيل والواجب الشهري الله المستعان
مستشار التخطيط التربوي;الثلاثاء 29 غشت 2023 - 12:45;0;"نتمنى من الوزارة التعقل وإنصاف أطر التخطيط و التوجيه التربوي الذين طالهم الحيف في النظام الأساسي القديم والجديد،
كما نتمنى من السيد الوزبر اقرار زيادة عامة في أجور نساء ورجال التعليم على غرار باقي القطاعات"
سليم;الثلاثاء 29 غشت 2023 - 15:54;2;أرجو خالصا ألا يكون هذا النظام الأساسي مسمارا آخر يدق في نعش المنظومة التعليمية. فهذا التكتم وهذه التأجيلات قد يكون وراءها إجراءات لا يتوقع حجم رد الفعل تجاهها.لقد أنهك التعليم بتجارب إصلاحية فاشلة خلفت تراكمات ليس من السهل معالجتها بمقاربات تقنية محضة تفتقر للروح التربوية المحفزة على التعليم والتعلم.
Author;Date;Reaction;Comment
المخلوف;السبت 26 غشت 2023 - 08:02;64;"لا امل في أمة يذل فيها رجال التعليم وتهظم حقوقهم.حينما يدمر الاساس،تنهار القمة.
انا لله وانا اليه راجعون ايها التعليم العمومي."
فضالة;السبت 26 غشت 2023 - 08:06;-70;"أين هو قانون الاضراب وأين هو قانون النقابات القانونان اللذان تحاربهما هذه النقابات التي يسيرها العجزة المسنون المتقاعدون .
لاخير في نقابات تساند المتقاعسين المتعاقدين الفوضويين الذين اعتدوا على الملايين من التلاميذ بمستواهم الضعيف وبالاضرابات والغيابات الفوضوية.
اللهم من أراد بأبناء المغاربة شرا فاجعل كيده في نحره."
وجدي;السبت 26 غشت 2023 - 08:22;-86;انظروا إلى التوقيت الذي تخلق فيه الشغيلة البلبلة والفوضى والضغط على الوزارة يا ناس.طبعا التكثيف من الضغط والمساومة الخبيثة في وقت حاسم كموعد الدخول المدرسي خطوة ذكية وخبيثة ومتفق عليها بإجماع.طبعا انتظروا دخولا مدرسيا متعثرا بل قل عصيانا وتمردا عن العمل عبر إضرابات وتغيبات يحاولون إضفاء الشرعية عليها.ولكن في غياب عنصر الزجر والعقاب من الدولة نتمنى أن يطالكم الردع الإلاهي والعدالة الربانية.
مول جافيل;السبت 26 غشت 2023 - 08:32;35;أكبر المتضررين من العرض الحكومي هم ضحايا الزنزانة عشرة وهم بالمناسبة أول من قام بكسر معركة مقاطعة تسليم النقط العام الماضي بحجة تسبيق حسن النية. مع الأسف نحن رجال ونساء تعليم ولكننا لا نتعلم من دروس الماضي وتجارب بعضنا مع الطرف المشغل ونهدر الوقت والجهد والمال بدون اية فائدة. الرهان الحقيقي يكون على الساحة والشارع، ومن يراهن على المفاوضات والنقابات وحسن النية فهو الثور الأبيض بلا شك.
abdou;السبت 26 غشت 2023 - 08:44;17;هذا هو المعقول ،ابوزارة ليس لديها ما تعطيه سوى الخوار من كسب الوقت بالتسويق ، بينما رئاسة الحكومة هي صاحبة القرار ، أما قانون الإضراب و مدونة الشغل تريدانه الباطرونا و الحكومة على مقاسهما العجزة ترفضه بالطبع ، النقابات لها مصالح و تتطلع إليها و الشغيلة التعليمية يجب ان تساير النقابات لا ان تتصارع معها ، كلهم في خندق واحد ضد منطق الحكومة و اللوبيات ، لذى عليهم بالعمل جنبا لحنب ، اما التسويف فهو سيد الموقف مع در الرماد في الاعين حتى يمر قانون المالية و تنتهي الخبيرة ، يا أسفاه على تدبير الحكومي و تسريباتها التي تزيد الوضع كرها و حسرة ، كيف لتسريب قال ان مجلس الحكومي الاخير سيناقش غلاء المحروقات ، و هل تم ذلك ؟ تسريبات لتغليط الراي العام و تسمينه و في التالي بنسبه للإشاعة ،هل هذا تدبير لمصلحة الشان العام الامة ممتدة .حقا يا اسفاه !؟ …. ارجوكم يا سلطة الرابعة لا للتعتيم و حجب الراي .
محمد;السبت 26 غشت 2023 - 09:29;17;"للاسف بعض الملفات لا تحتاج الكثير ولكن يعرقلها اشخاص خدمة لاصدقاءهم خارج باب الرواح ولا علاقة بها للسيدين وزير التربية الوطنية بنموسى او الكاتب العام الجديد، ملف اطر التوجيه بسيط للغاية وحله يحتاج توان ولا زال يراوح مكانه:
1- تغيير مدة التكوين الى سنة في سلك المستشارين و سنة اظافية في سلك التفتيش بمبدأ توحيد المسارات المهنية.
2- تفيير الاطار لجميع الممارسين الى مفتش بشرط خاج السلم مما سيفرز دفعات غير مكلفة
3- هذا الحل سيطوي الملف الى الابد عوض بقاء الاحتجاجات مند 2003"
ريضا;السبت 26 غشت 2023 - 09:31;23;إتفاق الحوار الإجتماعي 30أبريل 2022 لم ينفد بالكامل بالخصوص فئة المساعدون الإداريون والمساعدون التقنيون درجة التالتة وإدماجهم في درجة التانية من تاريخ 1يناير 2023
عبدو;السبت 26 غشت 2023 - 09:45;9;رغم 40 سنة من العمل مزال ملف ضحايا النظامين شيوخ التربية خصوصا الدين شملهم نظام التقاعد المجحف. هذا النظام حرمهم من الحصول على تقاعد مريح كما جاء فى تصريح الوزير الأول داخل قبة البرلمان
جمال ادامحمد;السبت 26 غشت 2023 - 11:01;9;"من الملفات التي لن تكلف الحكومة أي شيء والتي تتلكأ الحكومة في حلها ملف أطر التوجيه والتخطيط، فهذه الفئة تعتبر من أكبر المتضررين من النظام الأساسي السابق والحالي ، فهل حقيقة الوزارة تسعى إلى تقديم نظام أساسي منصف وعادل؟
وأين العدل والانصاف في الإجهاز على هذه الهيئة بتقسيمها وإغلاق باب تغيير الإطار في وجهها؟"
توظفت وندمت;السبت 26 غشت 2023 - 11:46;15;بالمختصر المفيد، الوزارة لا نية لديها لحل مشاكل التعليم، فقط شعارات رنانة من قبيل التحفيز والحفاظ على المكتسبات، لكن الحقيقة يريدون الاجهاز على كل شيء وطحن جميع الفئات كالزنزانة 10 وأطر التوجيه والتخطيط…لكن هذا لن يزيد الأمر إلا احتقانا وستبقى دار لقمان على حالها
متتبع عن كثب;السبت 26 غشت 2023 - 12:39;-35;"قطاع رجال الدلع المدرسي لا يحتاج غير الانضباط و مأسسة الزجر لإنهاء تهور المدلعين الذي تهبهم الدولة نصف سنة عطلة مؤداة الأجر مابين بينية و وطنية و دينية و صيفية، و نصف الزمن المدرسي أي بمعدل من 16 إلى 24 ساعة في الأسبوع، و كذا امتيازات تسلق السلم 11 و خارج السلم أي براتب 11000 إلى 15000 درهم بأقدمية 6 سنوات في الخدمة ، و لا تنسى كوكبة خدمات اجتماعية خاصة تخفيضات تقدمها مؤسسة محمد السادس في النقل و مراكز الاصطياف و السكك الحديدية و عند اقتناء السكن و الحواسيب و الانترنت و الهاتف النقال تبلغ 25 %.
لمن يريد التأكيد فليعد إلى شهادة الوزير السابق خلال برنامج في قفص الاتهام السيد محمد الوفا رحمه الله."
الاصلاح;السبت 26 غشت 2023 - 13:47;15;انظروا…. لدينا خبير جيد في ميدان التربية و التعليم، يرى أن المشكل الرئيس يكمن في نساء و رجال التعليم!!!! هذا “الخبير” يخفي حقدا مزمنا على المدرسات و المدرسين، و يتدخل على هذا المنبر المحترم ليعيد ما يردده منذ فشله… إنه “وجدي” الخبير في نكران جميل من بذلوا جهودا لتعليمه، ولأنه فاشل، فإنه يسعى لإبعاد مسؤوليته عن فشله و إلصاقها إلى الآخرين… حقد كهذا لا يصلح، بل يزيد في إفساد المنظومة يا خبيرنا المحترم.
samir;السبت 26 غشت 2023 - 15:42;7;"الفئة الاكثر تضررا والتي لم ينتبه لها او يتحدث عنها احد، هي فئة اساتذة التعليم الابتذائي الذين ولجوا الميدان بشهادة الباكالوريا وقضوا سنتين في التكوين بمنحة و راتب هزيلين و أفنوا شبابهم في تنشئة الاجيال بكل تفان.
لكن في الاخير تنكرت لهم وزارة التربية الوطنية و حرمتهم من ولوج مراكز تكوين المتصرفين التربويين و مركز النوجيه و التخطيط… بحجة شهادة الاجازة متناسيين سنوات اقدميتهم…
فالاولى بالسيد الوزير النظر لهذه الفئة المهضومة الحقوق الادارية و المادية و الأجدر بالنقابات استحضار هذه الفئة في لقاءاتهم و اجتماعاتهم و تبني ملفها و المرافعة عنه."
يعنيه الأمر;السبت 26 غشت 2023 - 22:09;3;"واعتبر الفاعل النقابي أن “الوزارة، ومن خلفها الحكومة والدولة، ليس لها إرادة سياسية لتجويد العرض المدرسي بمؤسسات التعليم الأولي العمومي مرورا بالإعداديات والتأهيليات وصولا إلى الأقسام التحضيرية ومراكز التكوين في إطار اختيارات تعليم عمومي مجاني وموحد، بل الاختيارات محسومة من طرف البنك الدولي ومفروض عليها تنفيذها عبر سياسة الإشراك لإضفاء الشرعية والمشروعية على سياستها التعليمية الطبقية الهادفة إلى إرساء تعليم في خدمة المقاولة بدل أن يكون في خدمة المجتمع وحاجياته الضرورية”.
وخلص غميمط إلى أنه “لا أمل ولا رهان على هذا النوع من الحوارات لحل مشاكل القطاع وحلحلة ملفاته الشائكة، بل المطلوب من الشغيلة وتنظيماتها النقابية المناضلة إطلاق عمل نضالي وحدوي قاعدي ينطلق من الفروع الإقليمية مرورا بالجهات وصولا إلى معارك وحودية مركزية تنخرط فيها كل الشغيلة ضحية المخططات الطبقية والتدبير اللاديمقراطي للقطاع”.
للأسف
على أي
نرجو خيرا من الدولة لهذا القطاع الاستراتيجي."
طوطو;الإثنين 28 غشت 2023 - 14:11;2;وفقكم الله ولكن السيد الوزير والسيد مدير الاكاديمية متى نقدم صورا ووقائع مطابقة لما يجري في الواقع الحي لماذا دائما تركيز الصورة على ما لا يمت للحقيقة بصلة متى نصل نحن المغاربة مسؤولين قبل مواطنين الى قول الحقيقة مجردة دون صباغة وطلاء؟؟؟
عبدو;الثلاثاء 29 غشت 2023 - 00:44;1;يبدو أن أصحاب ربطات العنق لا يعلمون شيئا عن تقهقهر مرتبة المعلم في المجتمع بحيث أصبحت أقل من مرتبة خضار و بائع للسمك ناهيك عن الحرفيين و التجار الصغار. الكل يسخر من المعلم و مسكنه و ملبسه و سيارته إن وجدت حتى أصبح أضحوكة المجتمع. و في نفس الوقت تجد نفس المجتمع و نفس أصحاب ربطات العنق يسائلون عن الجودةو المردودية. اللي بغا اقري ولدو ادير اديه فجيبو كما قال بن كيران
Author;Date;Reaction;Comment
الرقشي;السبت 26 غشت 2023 - 05:30;20;واش هاد الإصلاح مزال مابغاش يتلقى ليه الحل أتسالي الحكومة والتعلم لم يصلح
عبدو;السبت 26 غشت 2023 - 05:39;37;اشكالية إصلاح التعليم تتوقف على استجابة الوزارة إلى مطالب رجال و نساء التعليم من خلال نظام اساسي منصف و حل جميع الملفات العالقة
* يبدو لي;السبت 26 غشت 2023 - 05:41;17;"* يبدو لي جل المشاكل هي مفتعلة : كيف أن يكون هدر مدرسي و إكتظاظ ؟ و مطالب المضربين
عمرت كثيراً ، و لايستجاب لها إلا بالإقتطاع من الرواتب . و عدة مؤسسات أغلقت أبوابها،
و عدة حجرات دراسية شاغرة ، و يكدس التلاميذ لتوفير رجال التعليم . و حتى لو كان إرتباك
في بداية الموسم فلا يؤثر على كامل السنة . في الستينيات كانت الإضرابات الطلابية كثيرة ،
و العطل وفيرة ، و التلاميذ يغادرون المدارس و هي قليلة مبكراً ، رغم ذلك إشتغلت الناس
و وجدت عملاً .
* المهم و الأساسي الذي يجب الحديث عنه هو مراجعة شاملة لجميع المقررات ، حيث
تفوق مستوى التلاميذ بكثير ، يراد تثقيفهم و شحنهم فلا يحصلوا على شيء . و كثير تخرجوا
و لا يجدوا شغلاً ."
متقاعد;السبت 26 غشت 2023 - 05:56;-36;مشكل التعليم يتلخص في امر واحد لا غير وهو الموارد البشرية بكل أصنافها وانواع مهامها من الابتدائي الى الجامعي وبنسبة تفوق 70% للأسف غير صالحة للتعليم ولايمكن الاصلاح بها والطامة الكبرى هم المتعاقدون المتقاعسون لامواظبة لامستوى رأس مالهم سناطح وتخراج العينين ومع كثرتهم أفسدوا المؤسسة العمومية .هنا الداء فمن أراد العلاج فليعمل على ردع من أساء واعتدى على الملايين من التلاميذ ابناء الشعب بالانذارات والاقتطاعات الحقيقية وطرد رؤوس الفتنة خاصة الراديكاليبن اعداء مصلحة البلاد والعباد.
محمد المصباحي;السبت 26 غشت 2023 - 06:10;29;"نفس الأسطوانة القديمة و الأبدية.
ليس هناك أي إصلاح. كل ما يجري بالنسبة لهذه الحقيبة الوزارية هو تدبير ميزانيتها في انتظار قانون مالي جديد يأتي بميزانية أخرى.
الفشل الدائم في هذا القطاع له قراءة واحدة هي: ليست هناك أية نية للإصلاح و النهوض بهذا القطاع."
Abdooo;السبت 26 غشت 2023 - 06:12;-15;"الساعات الإضافية هي سبب خراب التعليم في المغرب.
الكل وراء المال"
سعيد موحا;السبت 26 غشت 2023 - 06:30;12;لا للتفرقة بين أبناء شعب واحد، و شعار واحد، و ملك واحد، أبناء الطبقة الميسورة لهم المدرسة الخاصة و أبناء الفقراء و قلة من الموظفين لهم المدرسة العمومية، التي أصبحت اليوم كمختبر كل من حب و دب يتحدت عنها و يأتينا بحلول علما بأن أبناء المحترمين، لا يدرسون بها، إن كانت لكم درة إنسانية نادوا بإعفاء أبناء دوي الدخل المحدود و الفقراء من أداء مصاريف التسجيل و التمدرس في المدرسة الخاصة جنبا إلى جنب مع أقرانهم من أبناء  الميسورين، حتى نعطي للتلميد النابغة من أبناء الشعب فرصة للتعلم بعيدا عن تلك الحسابات المادية الصرفة و دلك المميز الطبقي، فما دنبي أنا إن ولدت في أسرة فقيرة، لكن الله منحني ذكاءا ثاقبا، قل نضيره عند من ولد و في فمه ملعقة ذهب.
حسن بلغازي;السبت 26 غشت 2023 - 06:56;18;"كل عام نسمع نفس الأغنية دون أي تغيير يذكر.
حسبي الله ونعم الوكيل"
مواطن مغربي;السبت 26 غشت 2023 - 06:58;-39;لا إصلاح دون القطع مع تسيب الاساتذة… هذا هو المشكل فلا موارد لوجيستية ولا مناهج هي السبب .. منظومة متسيبة جل موظفيها يملئون مواقع التواصل الاجتماعي لديسك لايك و شكوى و تحرش لتسيبها… همهم الجوع و الشكوى و ادعاء المظلومية.. اساليبهم خسيسة تصل حتى جعل التلاميذ اساس عملهم حله وسيلة للابتزاز مثل سنة ماضية و اختحاز تقط التلاميذ… اقل ناس مستوى في المغرب بقايا الجامعات المفتوحة الذين لم يقبل توظيفهم احد في سوق الشغل.. يحاولون إبراز الذات الافتراضية المغلوطة من أمرها أن المعلم من علم مهندس و طبيب و الحال انه لو استطاع ان يكون هو نفسه مهخدسا لما أصبح مجرد استاذ… خلل كثير لت يعالجه الا صرامة مع هذه الفئة و جعل توقيت اماني ساعات يوميا و سلطة اتخاذ قرار الايقاف بيد مديري المؤسسات مثل الدول المتقدمة.. ماشي يديرها قد راسو و تسنا.. ها مجلس ها الأكاديمية لا خاص وزارة… المدير له سلطة العزل و ديك ساعة ايبكو شوية كما عادة واحد شهرين من بعد ايش و طريق
بشير;السبت 26 غشت 2023 - 07:01;32;لإصلاح منظومة التربية والتكوين وجب رفع أجور رجال ونساء التعليم. الدول التي تعي ان التعليم هو رافعة التقدم في جميع المجالات تكرم رجال التعليم (اليابان ،ألمانيا، كندا كوريا، الجنوبية …) لا يعقل ان تسعى وزارة التعليم إلى إخراج نظام جديد فيه 0 زيادة في راتب الاستاذ ،وهو راتب متدني لا يفي بالضروريات خاصة بالنسبة للمتعاقدين ويصنفهم في خانة الطبقة الفقيرة وهم الذين بدؤوا ياخذون المشعل ممن سبقوهم. إصلاح التعليم الحقيقي يمر عبر تكريم رجاله ونسائه.
مغربي;السبت 26 غشت 2023 - 08:19;12;لن يصلح التعليم أو يرتقي إلى المستوى المطلوب. رفعت الأقلام وجفت الصحف.
شرف;السبت 26 غشت 2023 - 08:38;13;"جاء القانون الاطار لأجرأة الرؤية الاستراتيجية عبر مشاريع مندمجة ، الا أن الوزير الحالي بعثر كل هذه الجهود ، ونسف سنوات من الاصلاح باقراره خارطة طريق حادت عن الطريق وجاءت ببرامج بئيسة مبتذلة، يدبرها مستشارو الوزير الذين لا صلة لهم بقطاع التربية والتكوين .
وبالتالي تقهقرت عجلة الاصلاح من جديد وعدنا الر الوراء …"
الكواكبي;السبت 26 غشت 2023 - 08:39;11;"خلصوا المقررات من الحشو و الاطالة …….
درسوا المسرح و فن الرسم و الموسيقى و الشعر فإنها تهذيب للنفوس
اطلقوا سراح المتعلم و دعوه ينشغل بالرياضة في ملاعب متخصصة و وفروا الشروط
مزقوا ما يدعونه بهتانا و زورا بالأندية المدرسية فما هي إلا مضيعة للوقت و تنتمية لروح الكذب و النفاق و البهتان لدى العاملين بالمؤسسة ."
مهتم;السبت 26 غشت 2023 - 08:51;14;عن اي اصلاح تتحدثون و الوزارة تسمح بتكديس 40 تلميذ في قسم واحد ؟ مصطلح الإصلاح يتكرر منذ سنين و لم نرى اي بوادر و لن يكون هناك اصلاح ابدا.
carpe diem;السبت 26 غشت 2023 - 09:26;18;لا خير يرجى من أشباه المسؤولين و جماعة الأشرار الفاشلين في إصلاح قطاع التعليم البئيس و النهوض بالأ وضاع المزرية للمدرسين في ظل موجة تضخم الأسعار المستمرة و الغلاء الفاحش الذي رمى بهم إلى غياهب الفقر المدقع و دوامات القروض الجهنمية نريد تنظيم مغادرة طوعية لقطاع البؤس و الظلم و الحكرة مغادرة طوعية الآاااان حسبنا الله ونعم الوكيل فيكم إلى الله المشتكى
